name,symbol,number,electronConfig
Tantalum,Ta,73,[Xe] 4f14 5d3 6s2
Tungsten,W,74,[Xe] 4f14 5d4 6s2
Rhenium,Re,75,[Xe] 4f14 5d5 6s2
Osmium,Os,76,[Xe] 4f14 5d6 6s2
Iridium,Ir,77,[Xe] 4f14 5d7 6s2
Platinum,Pt,78,[Xe] 4f14 5d9 6s1
Gold,Au,79,[Xe] 4f14 5d10 6s1
Mercury,Hg,80,[Xe] 4f14 5d10 6s2
Thallium,Tl,81,[Xe] 4f14 5d10 6s2 6p1
Lead,Pb,82,[Xe] 4f14 5d10 6s2 6p2
Bismuth,Bi,83,[Xe] 4f14 5d10 6s2 6p3
Polonium,Po,84,[Xe] 4f14 5d10 6s2 6p4
Astatine,At,85,[Xe] 4f14 5d10 6s2 6p5
Radon,Rn,86,[Xe] 4f14 5d10 6s2 6p6
Francium,Fr,87,[Rn] 7s1
Radium,Ra,88,[Rn] 7s2
Actinium,Ac,89,[Rn] 6d1 7s2
Thorium,Th,90,[Rn] 6d2 7s2
Protactinium,Pa,91,[Rn] 5f2 6d1 7s2
Uranium,U,92,[Rn] 5f3 6d1 7s2
Neptunium,Np,93,[Rn] 5f4 6d1 7s2
Plutonium,Pu,94,[Rn] 5f6 7s2
Americium,Am,95,[Rn] 5f7 7s2
Curium,Cm,96,[Rn] 5f7 6d1 7s2
Berkelium,Bk,97,[Rn] 5f9 7s2
Californium,Cf,98,[Rn] 5f10 7s2
Einsteinium,Es,99,[Rn] 5f11 7s2
Fermium,Fm,100,[Rn] 5f12 7s2
Mendelevium,Md,101,[Rn] 5f13 7s2
Nobelium,No,102,[Rn] 5f14 7s2
Lawrencium,Lr,103,[Rn] 5f14 7s2 7p1
Rutherfordium,Rf,104,[Rn] 5f14 6d2 7s2
Dubnium,Db,105,[Rn] 5f14 6d3 7s2
Seaborgium,Sg,106,[Rn] 5f14 6d4 7s2
Bohrium,Bh,107,[Rn] 5f14 6d5 7s2
Hassium,Hs,108,[Rn] 5f14 6d6 7s2
Meitnerium,Mt,109,[Rn] 5f14 6d7 7s2
Darmstadtium,Ds,110,[Rn] 5f14 6d8 7s2
Roentgenium,Rg,111,[Rn] 5f14 6d9 7s2
Copernicium,Cn,112,[Rn] 5f14 6d10 7s2
Nihonium,Nh,113,[Rn] 5f14 6d10 7s2 7p1
Flerovium,Fl,114,[Rn] 5f14 6d10 7s2 7p2
Moscovium,Mc,115,[Rn] 5f14 6d10 7s2 7p3
Livermorium,Lv,116,[Rn] 5f14 6d10 7s2 7p4
Tennessine,Ts,117,[Rn] 5f14 6d10 7s2 7p5
Oganesson,Og,118,[Rn] 5f14 6d10 7s2 7p6
